model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.9791666666666666,1.0,0.9583333333333334,0.9787234042553191,0.9996141975308642
Random Forest,0.9861111111111112,1.0,0.9722222222222222,0.9859154929577465,0.9994212962962963
